 央视（180条） ,#group# 

央视 4D/超高清（2条） ,#group# 

[BD]cctv-4k高清,https://t.freetv.fun/live/cctv-4kgao-qing-1.m3u8
[BD]cctv-4k高清,https://t.freetv.fun/live/cctv-4kgao-qing-2.m3u8
央视 高清/HD（1条） ,#group# 

[BD]cctv-4高清,https://t.freetv.fun/live/cctv-4gao-qing.m3u8
央视 SD（177条） ,#group# 

CCTV1,http://183.184.48.46:9003/hls/1/index.m3u8
CCTV1,http://183.184.48.4:9003/hls/1/index.m3u8
CCTV1,http://183.184.50.206:9003/hls/1/index.m3u8
CCTV1,http://36.136.38.87:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://221.7.49.226:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://120.70.60.179:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.241.133.223:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://36.136.38.87:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.241.133.223:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.62.8.58:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.184.48.176:9003/hls/1/index.m3u8
CCTV1,http://119.190.201.210:85/tsfile/live/26/2001_1.m3u8?key=txiptv
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
[BD]cctv1[geo-blocked],https://stream1.freetv.fun/897b65a4585a5ff67c3c98cb4aa781cd210532066e48b910812f70b1205a8638.m3u8
CCTV1,http://112.99.195.122:65000/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.184.48.46:9003/hls/2/index.m3u8
CCTV2,http://183.184.50.206:9003/hls/2/index.m3u8
CCTV2,http://183.184.48.4:9003/hls/2/index.m3u8
CCTV2,http://183.184.48.176:9003/hls/2/index.m3u8
CCTV2,http://36.136.38.87:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://119.190.201.210:85/tsfile/live/27/2002_1.m3u8?key=txiptv
CCTV2,http://221.7.49.226:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://113.241.133.223:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://113.241.133.223:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://36.136.38.87:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.184.48.176:9003/hls/3/index.m3u8
CCTV3,http://183.184.48.46:9003/hls/3/index.m3u8
CCTV3,http://183.184.48.4:9003/hls/3/index.m3u8
CCTV3,http://120.70.60.179:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://113.241.133.223:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://113.241.133.223:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://119.190.201.210:85/tsfile/live/28/2003_1.m3u8?key=txiptv
CCTV4,http://120.70.60.179:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://119.190.201.210:85/tsfile/live/29/2004_1.m3u8?key=txiptv
CCTV4,http://183.223.157.33:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://153.0.171.163:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
[BD]cctv4,https://t.freetv.fun/live/cctv4-3.m3u8
CCTV4,http://36.136.38.87:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://183.184.48.46:9003/hls/5/index.m3u8
CCTV5,http://183.184.50.206:9003/hls/5/index.m3u8
CCTV5+,http://183.184.48.4:9003/hls/6/index.m3u8
CCTV5+,http://183.184.50.206:9003/hls/6/index.m3u8
CCTV5+,http://183.184.48.46:9003/hls/6/index.m3u8
CCTV5+,http://39.165.39.49:85/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://183.184.48.4:9003/hls/5/index.m3u8
CCTV5,http://114.241.107.197:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV5,http://183.184.48.176:9003/hls/5/index.m3u8
CCTV5,http://119.190.201.210:85/tsfile/live/30/2005_1.m3u8?key=txiptv
CCTV5+,http://183.184.48.176:9003/hls/6/index.m3u8
CCTV5,http://221.7.49.226:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://114.241.107.197:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.223.157.33:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://113.241.133.223:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://113.241.133.223:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://113.241.133.223:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://113.241.133.223:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://183.184.48.4:9003/hls/7/index.m3u8
CCTV6,http://183.184.48.176:9003/hls/7/index.m3u8
CCTV6,http://221.7.49.226:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://120.70.60.179:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://114.241.111.4:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV6,http://183.62.8.58:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://112.132.10.54:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://114.241.107.197:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV6,http://119.190.201.210:85/tsfile/live/31/2006_1.m3u8?key=txiptv
CCTV6,http://153.0.171.163:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://113.241.133.223:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://113.241.133.223:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.184.48.46:9003/hls/8/index.m3u8
CCTV7,http://183.184.48.176:9003/hls/8/index.m3u8
CCTV7,http://183.184.48.4:9003/hls/8/index.m3u8
CCTV7,http://36.136.38.87:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
