名称,URL,速度(MB/s),分类
04-06⬇️WCBA排位赛⬇️🏀📡,http://rihou.cc:555/tv/t,0.907,其它
12 канал (1080p),https://12channel.bonus-tv.ru/cdn/12channel/playlist.m3u8,0.850,其它 高清/HD（158条）
13创世纪,http://shorturl.jxpan.vip:880/r/baoshi_aio/huya/29465852,0.902,其它
22,https://vd4.bdstatic.com/mda-ncvfnj4y3x12s018/cae_h264_delogo/1648638512055784705/mda-ncvfnj4y3x12s018.mp4,0.829,其它
23,https://vd4.bdstatic.com/mda-nap1xzj997qqcfr8/cae_h264_nowatermark_delogo/1642987657217993390/mda-nap1xzj997qqcfr8.mp4,0.842,其它
32,https://vd2.bdstatic.com/mda-nbdxwm6gm3y7nt9x/cae_h264_nowatermark_delogo/1644879104808683090/mda-nbdxwm6gm3y7nt9x.mp4,0.711,其它
6,https://vd2.bdstatic.com/mda-nda9vihjamzbhxr8/cae_h264_delogo/1649661812377276093/mda-nda9vihjamzbhxr8.mp4,0.876,其它
7,https://vd2.bdstatic.com/mda-nc7zsmht6xm8nye2/1080p/cae_h264_delogo/1646860825962324580/mda-nc7zsmht6xm8nye2.mp4,0.768,其它
7刑事侦缉档案,http://shorturl.jxpan.vip:880/r/baoshi_aio/huya/29465856,0.776,其它
Asharq Radio (1080p),https://svs.itworkscdn.net/asharqradiovlive/asharqradiov/playlist.m3u8,0.802,其它 高清/HD（158条）
BBC_Earth,http://iptv.4666888.xyz/iptv2A.php?id=53,0.759,其它
BBS Buddhist Broadcasting (1080p) [Not 24/7],http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8,0.751,其它 高清/HD（158条）
CCTN 47 (1080p) [Not 24/7],http://122.55.252.134:8443/live/bba5b536faeacb9b56a3239f1ee8e3b3/1.m3u8,0.797,其它 高清/HD（158条）
CCTV-11,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0,0.988,其它
CCTV-11,http://182.150.23.74:808/hls/11/index.m3u8,0.771,其它
CCTV-13,http://111.56.90.5/000000000000/1000000002000021303/1.m3u8,0.897,其它
CCTV-15,http://120.202.94.181:9446/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0,0.952,其它
CCTV-16FYtv,http://iptv.4666888.xyz/iptv2A.php?id=32,0.976,其它
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8,0.854,其它
CCTV-5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8,0.923,其它
CCTV-8,http://120.202.94.181:9446/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0,0.782,其它
CCTV-9,http://120.202.94.181:9446/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0,0.729,其它
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0,0.827,央视 SD（499条）
CCTV1,http://112.99.195.122:65000/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,0.863,央视 SD（499条）
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8,0.748,央视 SD（499条）
CCTV1,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV1,0.872,其它
