resource_name,url,speed_mb
CCTV4K,http://hd1.91kds.cn/live2/cctvxw.m3u8?id=cctv4k&bt=2&fmt=&ip=&app=com.chenfengtv.tvbox&version=1.0.3&mac=fu:ck:92:92:ff&ev=20250805&nwtime=1758299716&sign=2e0fb08efacb2da9d3b961af67df9252&utk=&tmk=,1.90519
CCTV老故事高清,http://183.234.143.5:85/tsfile/live/1061_1.m3u8?key=txiptv&playlive=0&authid=0,0.29878
CCTV1综合,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,5.94626
CCTV1综合,http://116.76.254.170:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0,0.31058
CCTV1综合,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8,0.73928
CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8,2.86818
CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8,3.61155
CCTV1,http://36.136.38.87:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,2.32172
CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.94611
CCTV1,http://36.136.38.87:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.41886
CCTV1,http://114.241.107.197:85/tsfile/live/1/1001_1.m3u8?key=txiptv,0.76337
CCTV1,http://183.62.8.58:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,2.74457
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0,1.54293
CCTV1,http://120.70.60.179:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0,4.66505
CCTV1,http://112.99.195.122:65000/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,1.11535
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8,1.04416
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8,3.38128
CCTV1,http://120.70.60.179:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0,5.15550
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8,0.38784
CCTV1,http://219.140.6.129:7777/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,0.62985
CCTV1,http://61.184.46.85:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0,1.36308
CCTV2财经,http://61.178.227.57:9901/tsfile/live/0002_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,5.32854
CCTV2,http://223.95.198.3:8000/hls/2/index.m3u8,3.12500
CCTV2,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.93451
CCTV2,http://36.136.38.87:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.88600
CCTV2,http://183.129.255.66:8480/hls/2/index.m3u8,1.82287
CCTV2,http://183.62.8.58:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.69915
CCTV2,http://114.241.107.197:85/tsfile/live/2/1002_1.m3u8?key=txiptv,0.32669
CCTV2,http://120.70.60.179:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0,4.64238
CCTV2,http://36.136.38.87:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.13765
CCTV2,http://112.99.195.122:65000/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0,1.22684
CCTV2,http://120.70.60.179:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0,4.50438
CCTV2,http://183.234.143.5:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0,0.48656
CCTV2,http://61.184.46.85:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,1.39604
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8,0.81629
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0,1.10578
CCTV2,http://112.46.105.20:8009/hls/502/index.m3u8,0.28665
CCTV2,http://59.174.117.160:7777/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0,0.60917
CCTV3综艺,http://61.178.227.57:9901/tsfile/live/0003_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,2.07490
CCTV3综艺,http://116.76.254.170:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0,0.27578
CCTV3综艺,http://iptv.4666888.xyz/iptv2A.php?id=9,0.48888
CCTV3综艺,http://kouki.pro:8888/udp/239.49.8.74:8000,0.25449
CCTV3,http://223.95.198.3:8000/hls/3/index.m3u8,2.19472
CCTV3,http://183.129.255.66:8480/hls/3/index.m3u8,4.43296
CCTV3,http://120.70.60.179:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0,3.81923
CCTV3,http://114.241.107.197:85/tsfile/live/3/1003_1.m3u8?key=txiptv,0.75743
CCTV3,http://120.70.60.179:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0,4.19418
CCTV3,http://120.202.94.181:9446/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0,1.22000
CCTV3,http://112.99.195.122:65000/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0,1.08083
CCTV3,http://61.184.46.85:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.61835
CCTV3,http://183.62.8.58:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.05394
CCTV3,http://183.234.143.5:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.24594
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8,0.25217
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8,4.70597
CCTV3,http://112.46.105.20:8009/hls/3/index.m3u8,0.32877
CCTV4,http://223.95.198.3:8000/hls/4/index.m3u8,5.39362
CCTV4,http://114.241.107.197:85/tsfile/live/4/1004_1.m3u8?key=txiptv,0.72585
CCTV4,http://183.62.8.58:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,3.82029
CCTV4,http://183.223.157.33:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,8.18253
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,0.96716
CCTV4,http://120.70.60.179:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,3.85196
CCTV4,http://120.70.60.179:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,3.58989
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8,0.99717
CCTV4,http://120.211.62.180:8000/hls/4/index.m3u8,0.39248
CCTV4,http://36.136.38.87:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.63968
CCTV4,http://36.136.38.87:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,1.20106
CCTV4,http://61.184.46.85:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.20816
CCTV4,http://112.99.195.122:65000/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0,1.15598
CCTV4,http://219.140.6.129:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0,0.61261
CCTV4,http://183.234.143.5:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,0.47712
CCTV4,http://112.46.85.60:8009/hls/4/index.m3u8,0.37451
CCTV4中文国际,http://61.178.227.57:9901/tsfile/live/0004_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,3.76739
CCTV4中文国际,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8,0.39195
CCTV5体育,http://61.178.227.57:9901/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,4.15639
CCTV5体育,http://116.76.254.170:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0,0.27580
CCTV5+,http://61.178.227.57:9901/tsfile/live/0141_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,3.94764
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8,3.25543
CCTV5+,http://114.241.107.197:85/tsfile/live/23/1023_1.m3u8?key=txiptv,0.39711
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8,0.77343
CCTV5+,http://39.165.39.49:85/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0,0.96746
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8,6.90650
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8,2.66572
CCTV5+,http://219.140.6.129:7777/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0,0.65764
CCTV5,http://223.95.198.3:8000/hls/5/index.m3u8,1.87707
CCTV5,http://183.129.255.66:8480/hls/5/index.m3u8,4.73404
CCTV5,http://114.241.107.197:85/tsfile/live/5/1005_1.m3u8?key=txiptv,0.61775
CCTV5,http://183.62.8.58:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.83608
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8,1.26018
CCTV5,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,2.22371
CCTV5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.42031
CCTV5,http://120.70.60.179:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,5.56123
CCTV5,http://120.70.60.179:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,4.47669
CCTV5,http://112.99.195.122:65000/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0,1.16422
CCTV5,http://61.184.46.85:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,0.33050
CCTV5,http://120.202.94.181:9446/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0,0.70559
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8,0.26373
CCTV6,http://223.95.198.3:8000/hls/6/index.m3u8,3.76708
CCTV6,http://114.241.107.197:85/tsfile/live/6/1006_1.m3u8?key=txiptv,0.65490
CCTV6,http://183.129.255.66:8480/hls/7/index.m3u8,3.10270
CCTV6,http://183.223.157.33:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,1.16855
CCTV6,http://120.70.60.179:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0,3.89444
CCTV6,http://183.234.143.5:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.79627
CCTV6,http://219.140.6.129:7777/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.64403
CCTV6,http://61.184.46.85:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.43786
CCTV6,http://112.99.195.122:65000/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,1.23453
CCTV6,http://120.202.94.181:9446/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0,1.16513
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8,1.45069
CCTV6,http://183.62.8.58:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,8.67886
CCTV6,http://112.46.105.20:8009/hls/6/index.m3u8,0.20482
CCTV6,http://120.70.60.179:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0,1.94154
CCTV6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8,0.66159
CCTV6,http://59.174.117.160:7777/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,0.61753
CCTV6电影,http://61.178.227.57:9901/tsfile/live/0006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,1.13277
CCTV7军农,http://61.178.227.57:9901/tsfile/live/0007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,1.09627
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=yu&mode=1&$5M,5.67638
CCTV7,http://223.95.198.3:8000/hls/7/index.m3u8,6.90499
CCTV7,http://183.129.255.66:8480/hls/8/index.m3u8,5.18834
CCTV7,http://114.241.107.197:85/tsfile/live/7/1007_1.m3u8?key=txiptv,0.77498
CCTV7,http://120.211.62.180:8000/hls/7/index.m3u8,5.74394
CCTV7,http://36.136.38.87:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.89257
CCTV7,http://183.62.8.58:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.46575
CCTV7,http://36.136.38.87:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,1.53757
CCTV7,http://120.70.60.179:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,2.34151
CCTV7,http://120.202.94.181:9446/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0,1.15227
CCTV7,http://112.46.85.60:8009/hls/504/index.m3u8,0.32316
CCTV7,http://59.174.117.160:7777/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.53206
CCTV7,http://183.223.157.33:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.59070
CCTV7,http://112.99.195.122:65000/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.92575
CCTV7,http://112.46.105.20:8009/hls/504/index.m3u8,0.29150
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8,0.37313
CCTV7,http://61.184.46.85:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,0.24995
CCTV7,http://120.70.60.179:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,3.33602
CCTV8,http://223.95.198.3:8000/hls/8/index.m3u8,1.71793
CCTV8,http://183.129.255.66:8480/hls/9/index.m3u8,5.22088
CCTV8,http://114.241.107.197:85/tsfile/live/8/1008_1.m3u8?key=txiptv,0.76706
CCTV8,http://120.70.60.179:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0,2.14286
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8,1.36791
CCTV8,http://120.70.60.179:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0,2.62736
CCTV8,http://183.223.157.33:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.37898
CCTV8,http://120.202.94.181:9446/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0,0.31764
CCTV8,http://112.46.105.20:8009/hls/8/index.m3u8,0.24560
CCTV8,http://112.99.195.122:65000/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,1.11593
CCTV8,http://61.184.46.85:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,0.42753
CCTV8,http://183.62.8.58:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0,2.56514
CCTV8电视剧,http://61.178.227.57:9901/tsfile/live/0008_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,4.45221
CCTV8电视剧,http://116.76.254.170:44330/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0,0.29576
CCTV8电视剧,http://222.214.208.34:59901/tsfile/live/0008_1.m3u8,1.67301
CCTV9,http://223.95.198.3:8000/hls/9/index.m3u8,1.05362
CCTV9,http://183.129.255.66:8480/hls/10/index.m3u8,7.81953
CCTV9,http://114.241.107.197:85/tsfile/live/9/1009_1.m3u8?key=txiptv,0.75883
CCTV9,http://183.62.8.58:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,1.10802
CCTV9,http://61.184.46.85:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.90034
CCTV9,http://120.70.60.179:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,3.23031
CCTV9,http://36.136.38.87:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,1.79729
CCTV9,http://120.70.60.179:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,2.65928
CCTV9,http://36.136.38.87:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,1.81774
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8,0.96336
CCTV9,http://120.211.62.180:8000/hls/9/index.m3u8,5.68769
CCTV9,http://120.202.94.181:9446/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0,0.41399
CCTV9,http://219.140.6.129:7777/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.53140
CCTV9,http://59.174.117.160:7777/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.21415
CCTV9,http://112.99.195.122:65000/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,1.74066
CCTV9,http://183.223.157.33:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0,0.29403
CCTV9,http://112.46.85.60:8009/hls/509/index.m3u8,0.26282
CCTV9纪录,http://61.178.227.57:9901/tsfile/live/0009_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,3.99007
CCTV9纪录,http://116.76.254.170:44330/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0,0.29297
CCTV9纪录,http://222.214.208.34:59901/tsfile/live/0009_1.m3u8,2.00849
CCTV10,http://183.129.255.66:8480/hls/11/index.m3u8,6.59308
CCTV10,http://223.95.198.3:8000/hls/10/index.m3u8,0.47791
CCTV10,http://183.223.157.33:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.28278
CCTV10,http://114.241.107.197:85/tsfile/live/10/1010_1.m3u8?key=txiptv,0.76477
CCTV10,http://120.211.62.180:8000/hls/10/index.m3u8,0.40621
CCTV10,http://36.136.38.87:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,1.84984
CCTV10,http://36.136.38.87:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,2.53339
CCTV10,http://120.70.60.179:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0,3.50856
CCTV10,http://120.70.60.179:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0,3.15113
CCTV10,http://183.62.8.58:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,3.56631
CCTV10,http://112.99.195.122:65000/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,1.24568
CCTV10,http://120.202.94.181:9446/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0,1.12984
CCTV10,http://61.184.46.85:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,0.46445
CCTV10,http://112.46.105.20:8009/hls/506/index.m3u8,0.52482
CCTV10,http://112.27.235.94:8000/hls/11/index.m3u8,0.30696
CCTV10科教,http://61.178.227.57:9901/tsfile/live/0010_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0,1.95307
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8,4.22419
CCTV11,http://223.95.198.3:8000/hls/11/index.m3u8,4.00290
CCTV11,http://114.241.107.197:85/tsfile/live/11/1011_1.m3u8?key=txiptv,0.46902
CCTV11,http://183.62.8.58:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,2.63031
CCTV11,http://36.136.38.87:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,1.38359
